index,name,address,location,listed_type,votes,num_rate,online_order,book_table,cuisines,rest_type,cost,bool_online_order,bool_book_table
11296,Butterly,"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Bannerghatta Road,Dine-out,102,3.9,Yes,No,"Cafe, Bakery, Beverages",Cafe,450.0,1,0
8887,Punjabi Dawat,"33/1, 33/2 Bellendur Outer Ring Road, Bellandur, Bangalore",Bellandur,Dine-out,248,2.9,Yes,No,"North Indian, Chinese",Quick Bites,400.0,1,0
12188,Aishwarya Parkland,"30, Syndicate Bank Colony, Next to BPL Arkere, Bannerghatta Road, Bangalore",Bannerghatta Road,Dine-out,59,2.9,No,No,"Chinese, North Indian",Casual Dining,500.0,0,0
3980,Sri Udupi Veg,"335, KR Road, Shastri Nagar, Yediyur, Jayanagar, Bangalore",Jayanagar,Delivery,4,3.3,No,No,South Indian,Quick Bites,250.0,0,0
16687,Rahhams,"1, Medison Complex, Near Leela Palace, Kodihalli, Old Airport Road, Bangalore",Old Airport Road,Delivery,413,2.8,Yes,No,"Mughlai, North Indian, Chinese",Casual Dining,700.0,1,0
17264,Tejas Bar and Restaurant,"1440, Nagarabhavi Main Road, 2nd Block, Stage 2, Nagarabhavi, Bangalore, Bengaluru",Nagarbhavi,Dine-out,0,0.0,No,No,"Chinese, South Indian",Casual Dining,800.0,0,0
11552,Sardarji Londonwaley,"9, Floor 1, SBI Bank Building, Westend Avenue, Near DLF Town, Opposite Ample Mart, Bannerghatta Road, Bangalore",Bannerghatta Road,Delivery,0,0.0,No,No,North Indian,Delivery,450.0,0,0
6000,Bangalore Agarwal Bhavan,"SY 82/4,Chembenahalli, Anekal Taluk, Sarjapur Road, Bangalore",Sarjapur Road,Dine-out,22,3.5,Yes,No,"North Indian, Street Food, Mithai",Quick Bites,300.0,1,0
409,Shree Mahalakshmi Sweets,"12, 1st Main Road, RPC Layout, Vijay Nagar, Bangalore",Vijay Nagar,Delivery,26,3.8,Yes,No,"Mithai, Street Food",Sweet Shop,100.0,1,0
13035,Appetite Workstation,"65/1C, Kaikondrahalli, Sarjapur Road, Bangalore",Sarjapur Road,Delivery,16,3.6,Yes,No,"North Indian, Chinese, Biryani",Quick Bites,500.0,1,0
4547,Chickpet Donne Biryani House,"105, 1st Main Road, Club Road, Opposite Titan Show Room, Vijay Nagar, Bangalore",Vijay Nagar,Delivery,163,3.7,Yes,No,Biryani,Quick Bites,250.0,1,0
19431,Burgundy - Royal Orchid Suites,"Royal Orchid Suites, Vaswani Pinnacle, 11/3A, Whitefield, Bangalore",Whitefield,Dine-out,104,3.9,No,Yes,North Indian,Casual Dining,1200.0,0,1
2278,Om Sai Ram Food Junction,"8/1, 3rd Cross, Chikkamaranahalli, New BEL Road, Bangalore",Yeshwantpur,Dine-out,39,3.7,No,No,North Indian,Quick Bites,200.0,0,0
9888,Biryani Rooh-e-Khaas,"9, 1st Floor, SBI Building, New DLF New Town, Opposite Ample Mart, Bannerghatta Road, Bangalore.",Bannerghatta Road,Delivery,0,0.0,Yes,No,"Biryani, Mughlai",Quick Bites,400.0,1,0
4986,The Cake Ville,"15, Ground Floor, MN Complex, Near Brigade Millenium, 7th Phase, JP Nagar, Bangalore",JP Nagar,Dine-out,18,3.2,Yes,No,"Bakery, Desserts, Fast Food","Bakery, Quick Bites",300.0,1,0
7514,The Cake Factory,"1379/A, 13th Cross Road, West of Chord Road, 2nd Stage, Rajajinagar, Bangalore",Rajajinagar,Delivery,4,3.4,No,No,Bakery,Bakery,300.0,0,0
16223,Red Lantern,"Shop 201, Ground Floor, West Minister, 13, Cunningham Road, Bangalore",Cunningham Road,Dine-out,162,3.7,Yes,No,"Chinese, Thai",Casual Dining,700.0,1,0
8159,Vibgyor Kitchen,"17 B, Opposite Dubas Engineering Private Limited, Phase 2, Electronic City, Bangalore",Electronic City,Delivery,0,0.0,No,No,North Indian,Quick Bites,350.0,0,0
1289,Kolkata Famous Kati Rolls,"Ramanna Gardens, Chamundeswari Layout, Jalahalli, Bangalore",Jalahalli,Delivery,0,0.0,No,No,Rolls,Quick Bites,150.0,0,0
17428,Biriyani Zone,"274, Neeladei Main Road, Electronic City, Bangalore",Electronic City,Dine-out,678,3.9,Yes,No,"Biryani, North Indian, Chinese, Seafood",Casual Dining,800.0,1,0
1312,Ghar ka Khana,"Brigade Tech Park, ITPL Main Road, Whitefield, Bangalore",Whitefield,Delivery,0,0.0,No,No,North Indian,Delivery,150.0,0,0
12568,Maa Di Hatti,"7, 8th Cross, Jakkasandra, Koramangala 1st Block, Bangalore",Koramangala 1st Block,Dine-out,137,2.8,Yes,No,North Indian,Quick Bites,500.0,1,0
11143,Priyadarshini,"80-1, Dommasandra Circle, Sarjapur Road, Bangalore",Sarjapur Road,Delivery,20,3.8,Yes,No,"South Indian, North Indian, Chinese",Quick Bites,400.0,1,0
20325,Byg Brewski Brewing Company,"Behind MK Retail, Sarjapur Road, Bangalore",Sarjapur Road,Delivery,16345,4.9,Yes,Yes,"Continental, North Indian, Italian, South Indian, Finger Food",Microbrewery,1600.0,1,1
5720,Rolls On Wheels,"1, Maruthi Plaza, 9th B Main, Chairman Layout, Banaswadi, Bangalore",Banaswadi,Dine-out,69,2.8,No,No,"Fast Food, Rolls, Momos",Quick Bites,300.0,0,0
11969,Sweet Chariot,"10th Main Road, 4th T Block East, Jayanagar, Bangalore",Jayanagar,Desserts,0,0.0,No,No,"Bakery, Desserts, Fast Food",Bakery,500.0,0,0
9023,Mahek of Punjab,"C.K.B Layout, Near Nest Backry, Munnekolala, Marathahalli, Bangalore",Marathahalli,Dine-out,75,2.7,Yes,No,North Indian,Quick Bites,400.0,1,0
11298,Sri Bhagya Grand,"1065/A, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Bannerghatta Road,Dine-out,186,3.4,Yes,No,"South Indian, North Indian, Chinese, Street Food, Beverages",Casual Dining,450.0,1,0
20768,Caraway Kitchen - Conrad Bengaluru,"Conrad Bengaluru, Kensington Road, Ulsoor, Bangalore",Ulsoor,Dine-out,149,4.3,No,Yes,"American, Continental, North Indian, South Indian",Fine Dining,2800.0,0,1
13789,Tintin Da Dhaba,"49, CKB Layout, Chandra Layout, Marathahalli, Bangalore",Marathahalli,Delivery,7,3.4,No,No,North Indian,Casual Dining,500.0,0,0
1535,Hangyo,"169, 1st Main Road, Seshadripuram, Malleshwaram, Bangalore",Malleshwaram,Desserts,0,0.0,No,No,Ice Cream,Dessert Parlor,200.0,0,0
6957,B Penguin Restaurant & Cafe,"8-9, Phase 2, Electronic City, Bangalore",Electronic City,Delivery,0,0.0,No,No,Cafe,Quick Bites,300.0,0,0
5847,RR Dum Biryani,"1st Main Road, 3rd Phase Opposite Motapa Park, Manjunathnagar, Basaveshwara Nagar, Bangalore",Basaveshwara Nagar,Dine-out,0,0.0,No,No,"Biryani, Kebab",Quick Bites,300.0,0,0
7496,Bangalore Grill House,"44, Krishna Reddy Complex,Byrasandra Main Road, GM Palya, Bangalore",Thippasandra,Delivery,6,3.2,No,No,"Arabian, BBQ, Mexican",Quick Bites,300.0,0,0
17311,Hotel Empark,"2, Arekempenahalli, Near Brand Factory Wilson Garden, Wilson Garden, Bangalore",Wilson Garden,Dine-out,16,3.4,Yes,No,"Chinese, North Indian, Arabian",Casual Dining,800.0,1,0
16731,Cafe Mor'ish,"Le Parc Richmonde Building, Shantala nagar, Richmond Road, Bangalore",Richmond Road,Delivery,115,4.1,Yes,No,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",Cafe,700.0,1,0
5422,China Garden,"Doddathoguru Road, Opposite Valankani Gate 2, Near Royal Gym, Phase 1, Electronic City, Bangalore",Electronic City,Dine-out,25,3.6,Yes,No,"Chinese, North Indian",Quick Bites,300.0,1,0
1476,Asha Sweets Center,"6, Ground Floor, Binnamangala 1st Stage, CMH Road",Indiranagar,Desserts,57,4.1,Yes,No,"Mithai, Street Food","Sweet Shop, Quick Bites",200.0,1,0
134,ResCafe,"Devatha Plaza, Residency Road, Bangalore",Residency Road,Dine-out,41,3.8,No,No,Beverages,Quick Bites,100.0,0,0
1339,Chai Days,"2019, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Cafes,105,4.4,Yes,No,"Cafe, Tea, Beverages, Fast Food",Cafe,200.0,1,0
13933,18+ Ice Cafe,"408, 2nd Floor, 2nd Block, Opposite Kotak Mahindra Bank, HRBR Layout, Kammanahalli, Bangalore",Kammanahalli,Cafes,24,3.5,No,No,"Cafe, Fast Food, Chinese, Beverages",Cafe,550.0,0,0
15363,Wedding Biryani,"1086/A, Twin Tulips, 18th Cross, 14th Main Road, Sector 3, HSR, Bangalore",HSR,Delivery,0,0.0,Yes,No,"Biryani, Kebab",Quick Bites,600.0,1,0
6550,Handi Biryani,"8, 5th Cross, Ramanjineya Layout, Oppsite Kalamandir, Marathahalli, Bangalore",Marathahalli,Delivery,84,3.9,Yes,No,"Hyderabadi, Biryani",Quick Bites,300.0,1,0
9846,M-Aura Kitchen Cafe & More,"Radiant Shine Commercial Building, First Floor, Above SBI Bank, Yelenahalli Village, Begur Rd, Bannerghatta Road, Bangalore",Bannerghatta Road,Delivery,0,0.0,Yes,No,North Indian,Quick Bites,400.0,1,0
17275,Coastal Inn,"204, Panduranga Nagar, Opposite HSBC, Bannerghatta Road, Bangalore",Bannerghatta Road,Dine-out,66,3.4,No,No,"Chinese, North Indian, Seafood",Casual Dining,800.0,0,0
20826,The Lantern Restaurant & Bar - The Ritz-Carlton...,"The Ritz-Carlton, 99, Residency Road, Bangalore",Residency Road,Drinks & nightlife,430,4.3,No,Yes,Chinese,"Fine Dining, Bar",3500.0,0,1
16422,Starbucks,"402, Ground Floor, 8th Main Road, Sadashiv Nagar, Bangalore",Sadashiv Nagar,Dine-out,177,4.3,No,No,"Cafe, Desserts",Cafe,700.0,0,0
12929,Naati Manae,"4th Floor, Bangalore Central Mall, 9th Block, JP Nagar, Bangalore",JP Nagar,Delivery,10,3.1,Yes,No,"South Indian, Biryani",Food Court,500.0,1,0
15253,Swad E Punjab,"95, Opposite Vydehi Hospital, EPIP Area, Whitefield, Bangalore",Whitefield,Delivery,6,3.4,No,No,North Indian,Casual Dining,600.0,0,0
17960,Ma~Ga~Di,"39, Jai Munirao Circle, Agrahara Nasarahalli, Magadi Main Road, Vijay Nagar, Bangalore",Vijay Nagar,Delivery,12,3.3,No,No,"North Indian, South Indian, Chinese",Casual Dining,800.0,0,0
10523,Yeruva Biriyani,"Shanthipura Road, Behind Foodies Express, Phase 2, Electronic City, Bangalore",Electronic City,Delivery,40,3.5,Yes,No,"Biryani, Chinese",Delivery,400.0,1,0
2618,Chai Resto,"SY 79-3, Shop 9, Ground Floor, Outer Ringer Road, Bellandur, Bangalore",Bellandur,Delivery,5,3.6,No,No,"Fast Food, Tea",Quick Bites,200.0,0,0
3036,Home Cooked,"Domlur, Bengaluru",Domlur,Delivery,0,0.0,No,No,"North Indian, Biryani, Lucknowi",Delivery,200.0,0,0
18484,Gilly's Restobar,"91, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Drinks & nightlife,3902,4.5,No,Yes,"Finger Food, Continental, North Indian","Pub, Casual Dining",1000.0,0,1
10209,WOW! Momo,"3rd Floor, Forum Neighbourhood Mall, Varthur Main Road, Whitefield, Bangalore",Whitefield,Delivery,44,2.9,Yes,No,"Tibetan, Momos","Food Court, Quick Bites",400.0,1,0
3046,Ambur Biriyani,"Near Ayyapa Temple, Hal 2nd Stage, Old Airport Road, Bangalore",Old Airport Road,Delivery,4,3.2,No,No,Biryani,Quick Bites,200.0,0,0
15428,Glen's Bakehouse,"297, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Delivery,5308,4.2,Yes,No,"Bakery, Cafe, Italian, Desserts","Bakery, Cafe",600.0,1,0
11630,Crunchie Corner,"AECS Layout, C-Block, Opposite MK Retail, Kundanhalli, Brookefield, Bangalore",Brookefield,Delivery,44,4.0,Yes,No,"Fast Food, Continental, Desserts",Quick Bites,450.0,1,0
10691,Moonlights Kitchens,"114, 8th D Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, Koramangala, Bangalore",Koramangala 1st Block,Delivery,0,0.0,No,No,"North Indian, Chinese",Delivery,400.0,0,0
7223,XO Cafe,"OYO TOWNHOUSE 038 BANASWADI 100FT ROAD ,HBR LAYOUT, 1ST BLOCK,BANGLORE",Banaswadi,Delivery,0,0.0,Yes,No,Cafe,Cafe,300.0,1,0
15264,Sindhuri Restaurant,"Beside Innovative Mulitiplex, Marathahalli, Bangalore",Marathahalli,Delivery,19,3.1,Yes,No,"Chinese, North Indian, Biryani",Casual Dining,600.0,1,0
7176,Rolls On Wheels,"427, 7th Cross, 7th Main, 2nd Stage, BTM, Bangalore",BTM,Delivery,127,2.8,No,No,"Fast Food, Rolls, Momos",Quick Bites,300.0,0,0
1641,Sandwichwallas,"669, Chatori Gali Food Street, Opposite Elita Apartments, RBI Layout, 7th Phase, JP Nagar",JP Nagar,Dine-out,32,3.6,Yes,No,Fast Food,Quick Bites,200.0,1,0
16650,Millennium Plaza,"396/48, Huskur Gate, Opposite Vimalalaya Hospital, Hosur Road, Electronic City, Bangalore",Electronic City,Delivery,19,3.4,Yes,No,North Indian,Casual Dining,700.0,1,0
7673,Gowdru Hatti Nati Style,"94/3, Near Gottigere Bus Stop, Bannerghatta Road, Bangalore",Bannerghatta Road,Dine-out,0,0.0,No,No,"South Indian, Chinese, Biryani",Quick Bites,350.0,0,0
20611,M Bar - Bengaluru Marriott Hotel Whitefield,"Bengaluru Marriott Hotel, 75, 8th Road, EPIP Area, Whitefield, Bangalore",Whitefield,Dine-out,75,3.9,No,No,Finger Food,"Fine Dining, Bar",2000.0,0,0
3722,Snakk That,"Shop 789, Sai Samruddhi, ITI Layout, Sector 7, HSR, Bangalore",HSR,Dine-out,54,3.9,Yes,No,"Burger, Beverages, Fast Food","Quick Bites, Beverage Shop",250.0,1,0
13675,Sweet Chariot,"432, 4th Cross, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Kalyan Nagar,Delivery,60,2.8,No,No,"Bakery, Fast Food",Dessert Parlor,500.0,0,0
1969,Cafe,"II Floor, Padma Shree Building, 5th Main, 9th Cross, Jaya Mahal Extension, Near Frazer Town, Bangalore",Frazer Town,Dine-out,4,3.3,Yes,No,"Fast Food, Street Food",Quick Bites,200.0,1,0
19318,The Chevron Brigade,"19, Magrath Road, 1st Cross, Near Garuda Mall, Brigade Road, Bangalore",Brigade Road,Dine-out,4,3.3,No,No,"Fast Food, Biryani, Chinese, Seafood",Casual Dining,1200.0,0,0
6492,Rolls On Wheels,"23/1, Woods Street, Ashok Nagar, Brigade Road, Bangalore",Brigade Road,Delivery,45,3.5,No,No,"Fast Food, Rolls, Momos",Quick Bites,300.0,0,0
14170,Breaktime Brew,"226, Someshwara Temple Road, 1st Cross, Koramangala 7th Block",Koramangala 7th Block,Delivery,24,3.7,Yes,No,Cafe,Cafe,550.0,1,0
14444,Akshaya Bar And Restaurant,"35/36, Venkatapura Main Road, Koramangala 1st Block, Bangalore",Koramangala 1st Block,Pubs and bars,0,0.0,Yes,No,"North Indian, South Indian, Chinese, Fast Food","Casual Dining, Bar",600.0,1,0
8589,Cheesecake Alley,"1216, Ground Floor, 14th Main, 3rd Sector, HSR, Bangalore",HSR,Desserts,8,3.1,No,No,"Bakery, Desserts",Bakery,400.0,0,0
18365,Cafe Pascucci,"17/J, 18th Cross, Sector 3, HSR, Bangalore",HSR,Desserts,720,4.1,Yes,Yes,"Cafe, Continental, Pizza, Italian, Beverages",Cafe,950.0,1,1
20868,Mayas kitchen,"43/9, Borewell Rd, Palm Meadows, Nallurhalli, Whitefield, Bangalore",Whitefield,Dine-out,0,0.0,No,No,"South Indian, Chinese, Chettinad",Casual Dining,,0,0
7682,The Krishna Grand Xpress,"183/28, 2nd Main Road, 36th B Cross, 7th Block, Jayanagar, Bangalore",Jayanagar,Dine-out,136,4.0,Yes,No,"South Indian, Fast Food",Quick Bites,350.0,1,0
11806,Matka House,"19, JP Morris Building, 1st Floor, 17th Cross, Kaggadasapura, Bangalore Kaggadasapura Main Road, Kaggadasapura, Bangalore",Kaggadasapura,Delivery,391,3.9,Yes,No,"North Indian, Chinese, Continental, Biryani",Quick Bites,450.0,1,0
15069,Meal Square,"175/176, Bannerghatta Road, Bangalore",Bannerghatta Road,Delivery,8,3.2,Yes,No,"North Indian, Chinese",Delivery,600.0,1,0
13985,Siddique Kabab Centre,"St. Johns Church Road, Near Coles Park, Frazer Town, Bangalore",Frazer Town,Dine-out,430,3.9,Yes,No,"Mughlai, Kebab, Chinese",Casual Dining,550.0,1,0
7909,Curries And Pickles,"Near Basavanagar Bus Stop, HAL Gate, Marathahalli, Bangalore",Marathahalli,Dine-out,10,3.3,No,No,"Andhra, North Indian, Biryani",Quick Bites,350.0,0,0
9530,Sai Santhi Cafe,"Panathur Main Road, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Dine-out,69,3.8,Yes,No,"South Indian, North Indian, Chinese",Quick Bites,400.0,1,0
10837,Spice Room,"256, 10th Main, 100 Feet Road, HRBR Layout, Kalyan Nagar, Bangalore",Kalyan Nagar,Delivery,0,0.0,Yes,No,Andhra,Quick Bites,400.0,1,0
12843,Faasos,"First Floor, Apple City, Kadugodi Hoskote, Whitefield, Bangalore",Whitefield,Dine-out,184,4.0,Yes,No,"North Indian, Biryani, Fast Food",Quick Bites,500.0,1,0
3212,Foodmazic,"Kaggadasapura, Bangalore",Kaggadasapura,Delivery,17,3.7,No,No,"BBQ, Beverages, Burger, Rolls, Tea",Quick Bites,200.0,0,0
16079,J's Cafe,"1st Floor, 772, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Cafes,155,3.9,No,No,"Cafe, Continental",Cafe,700.0,0,0
16741,Cafe Rossini,"2/10, 80 Feet Road, RMV 2nd Stage, Poojary Layout, New BEL Road, Bangalore",New BEL Road,Delivery,431,3.9,Yes,No,"Continental, Italian, Chinese",Casual Dining,700.0,1,0
5554,Saahib,"837, 27th Main, 11th Cross, Sector 1, Opposite Ganesh Temple Park, HSR, Bangalore",HSR,Dine-out,89,3.9,No,No,"Fast Food, Rolls",Quick Bites,300.0,0,0
16314,Rahhams,"82, MM Road, Frazer Town, Bangalore",Frazer Town,Dine-out,851,3.9,Yes,No,"Mughlai, North Indian, Chinese",Casual Dining,700.0,1,0
18979,Orzuv,"17, Green Park Avenue, Opposite Yamaha Showroom, Whitefield, Bangalore",Whitefield,Cafes,837,3.7,Yes,Yes,"Kashmiri, Cafe","Casual Dining, Cafe",1100.0,1,1
6268,Spice Taj,"168, 16th Main, 21st Cross, Mahadeshwara Nagar, 2nd Stage, BTM, Bangalore",BTM,Delivery,0,0.0,No,No,"North Indian, Chinese",Quick Bites,300.0,0,0
10811,The London Shakes,"641, 5th Main Road, Bhuvanagiri Layout, Banaswadi, Bangalore",Banaswadi,Delivery,25,3.1,Yes,No,"Beverages, Fast Food, Italian",Beverage Shop,400.0,1,0
18684,JukeBox,"359, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Dine-out,281,3.9,No,Yes,"Continental, Parsi, Chinese, North Indian, Italian, Steak","Casual Dining, Bar",1000.0,0,1
5006,Nanna Munna Paratha House,"7th Main, NS Palya, 2nd Stage, BTM, Bangalore",BTM,Dine-out,107,4.0,Yes,No,North Indian,Quick Bites,300.0,1,0
10993,SGS Non Veg - Gundu Pulav,"Ground Floor, 162, Pearl Spec, Margosa Road, Malleshwaram, Bangalore",Malleshwaram,Delivery,7,3.2,Yes,No,"Biryani, Fast Food",Quick Bites,400.0,1,0
13794,Refresh,"335, 1st Main, B Block, Brookefield, Bangalore",Brookefield,Delivery,503,3.2,Yes,Yes,"Cafe, Beverages",Cafe,500.0,1,1
11956,Me And My Cake,"Begur - Hulimavu Road, Akshaya Gardens, Bannerghatta Road, Bangalore",Bannerghatta Road,Desserts,0,0.0,No,No,"Bakery, Desserts",Takeaway,500.0,0,0
20841,Jamavar - The Leela Palace,"The Leela Palace, 23, Old Airport Road, Bangalore",Old Airport Road,Dine-out,519,4.2,No,Yes,"North Indian, South Indian",Fine Dining,4000.0,0,1
13166,Cravisthan,"Shop 40, Kempegowda Service Road, Domlur Layout, Bangalore",Domlur,Delivery,0,0.0,Yes,No,"South Indian, North Indian",Quick Bites,500.0,1,0
3887,Kichukkhon,"Opposite to SGR Dental college, Munekolala, Marathahalli, Bangalore",Marathahalli,Dine-out,48,2.9,No,No,"Bengali, Oriya",Quick Bites,250.0,0,0
11014,Punjabi Food Joint,"1, YSR Skyline, Near Raga Apartments, Vankateshwar Layout, Mahadevpura, Marathahalli, Bangalore",Marathahalli,Delivery,21,3.4,Yes,No,"North Indian, South Indian",Quick Bites,400.0,1,0
3799,Sri Krishna Bhavan,"915, 1st Block Babusapalya, Kalyan Nagar, Bangalore",Kalyan Nagar,Dine-out,14,3.5,No,No,"South Indian, North Indian",Quick Bites,250.0,0,0
8826,Chinese Kitchen,"Opposite. Elita Apartment, RBI Layout, JP Nagar, Bangalore",JP Nagar,Dine-out,0,0.0,No,No,Chinese,Quick Bites,400.0,0,0
17084,Chopstick World,"5, 1st Main, 2nd Block, 3rd Stage, Basaveshwara Nagar, Bangalore",Basaveshwara Nagar,Delivery,178,4.0,No,No,"Chinese, North Indian",Casual Dining,750.0,0,0
20726,Windmills Craftworks,"331, Road 5B, EPIP Area, Next to KTPO, Whitefield, Bangalore",Whitefield,Pubs and bars,5954,4.6,No,No,"American, North Indian, Salad","Microbrewery, Pub",2500.0,0,0
10663,Juicemaker,"2724, 31st Main, 17th Cross, Near NIFT College, HSR, Bangalore",HSR,Delivery,68,3.7,No,No,"Beverages, Fast Food","Quick Bites, Beverage Shop",400.0,0,0
3435,Flavours24,"Prestige Tech Park, Jupiter Block, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,Desserts,16,3.3,No,No,"Desserts, Ice Cream",Dessert Parlor,250.0,0,0
6057,The Grilled & Fried,"Borwell Road, Bangalore, Whitefield, Bangalore",Whitefield,Dine-out,130,3.3,Yes,No,Fast Food,Quick Bites,300.0,1,0
8914,Abhiruchi Restaurant,"6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, Bangalore",Sarjapur Road,Dine-out,5,3.4,Yes,No,"Andhra, North Indian, Chinese",Casual Dining,400.0,1,0
11910,Tea Journey,"3167, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",Indiranagar,Cafes,71,3.8,Yes,No,Cafe,Cafe,500.0,1,0
12446,Shiv Sagar,"Transit, Forum Mall, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Dine-out,152,3.9,No,No,"Chinese, North Indian, Fast Food, Street Food",Food Court,500.0,0,0
14979,The Difference,"101/102, 1st Floor, The Arcade, Brigade Metropolis, Main Road, Whitefield, Bengaluru",Whitefield,Dine-out,18,2.7,Yes,No,"North Indian, Chinese, Arabian",Casual Dining,600.0,1,0
13102,Moto Store & Cafe,"9, Lake Square, Tank Road, Ulsoor, Bangalore",Ulsoor,Delivery,382,4.2,Yes,No,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Cafe,500.0,1,0
8204,Hotel Hyperdine,"18th Main, HAL 2nd stage, Off 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Delivery,66,2.5,Yes,No,"North Indian, Chinese, Arabian",Quick Bites,350.0,1,0
13714,BOX8- Desi Meals,"57, Industrial Layout, Near J N C College, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Delivery,405,4.4,Yes,No,"North Indian, Mughlai, Fast Food","Takeaway, Delivery",500.0,1,0
13695,Gurukrupa Paratha House,"15, 1st Main, Near Shubham traders , Domlur Layout, Domlur, Bangalore",Domlur,Delivery,332,3.1,Yes,No,"North Indian, Chinese",Casual Dining,500.0,1,0
5020,Biryani Magic,"16th Main Road, BTM, Bangalore",BTM,Dine-out,31,3.5,Yes,No,"North Indian, Biryani",Quick Bites,300.0,1,0
1183,New Roll Centre,"3081, 6th Main, Double Road, Indiranagar, Bangalore",Indiranagar,Delivery,7,3.3,No,No,"Fast Food, Rolls",Quick Bites,150.0,0,0
12078,Cream Stone,"2116, CMR Road, HRBR Layout, Kalyan Nagar, Bangalore",Kalyan Nagar,Desserts,432,4.2,Yes,No,"Desserts, Beverages",Dessert Parlor,500.0,1,0
6779,Bharat Kitchen,"1/44, Venkatapura Main Road, Koramangala 1st Block, Bangalore",Koramangala 1st Block,Delivery,20,3.7,Yes,No,"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",Quick Bites,300.0,1,0
13113,Cream Chemistry,"88/1, Opposite to Reliance Fresh, Coles Road, Frazer Town, Bangalore",Frazer Town,Delivery,148,3.9,Yes,No,"Ice Cream, Desserts",Dessert Parlor,500.0,1,0
20091,Trinity Club Lounge,"Fortune Select Trinity, 134/136, EPIP Area Road-1, Whitefield, Bangalore",Whitefield,Dine-out,20,3.5,No,No,Finger Food,Lounge,1500.0,0,0
13275,Cakewala,"54/A, 24th Main Road, 2nd Phase, JP Nagar, Bangalore",JP Nagar,Delivery,230,4.1,Yes,No,"Bakery, Desserts",Bakery,500.0,1,0
14856,Cafe S,"752, 1st Floor, 80 Feet Road, Koramangala 4th Block, Bangalore",Koramangala 4th Block,Dine-out,4,3.2,No,No,"Cafe, American, European",Cafe,600.0,0,0
